252;66.;24.;252;66.;23.;252;66.;24.;252;66.;23.;
252;66.;23.;252;66.;23.;252;66.;23.;252;66.;23.;
253;66.;24.;252;66.;23.;252;66.;24.;253;66.;24.;
253;66.;24.;252;66.;24.;252;66.;24.;252;66.;24.;
253;66.;24.;253;66.;24.;253;66.;24.;252;66.;24.;
252;66.;24.;253;66.;24.;253;65.;24.;252;65.;24.;
253;66.;23.;252;66.;23.;253;66.;23.;253;65.;23.;
252;66.;23.;252;66.;23.;252;66.;23.;253;66.;23.;
8..;40.;143;8..;40.;143;8..;40.;143;8..;40.;143;
8..;40.;143;8..;40.;143;8..;40.;143;8..;40.;143;
2..;40.;147;1..;40.;147;2..;40.;147;2..;40.;147;
2..;40.;147;2..;39.;147;1..;40.;147;2..;39.;147;
159;24.;64.;159;24.;64.;159;24.;64.;159;24.;64.;
159;24.;64.;159;24.;64.;159;24.;64.;159;24.;64.;
208;21.;39.;207;21.;39.;207;21.;39.;207;21.;39.;
207;21.;39.;207;20.;39.;207;21.;39.;208;21.;39.;
