207,1..,62.;50.,87.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
207,97.,62.;50.,45.,12.;120,100,123;207,97.,62.;
